timestamp,close_time,open,high,low,close,volume,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,number_of_trades
2024-01-01 01:30:00,2024-01-01 05:29:59.999,42619.04,42680.36,42056.0,42283.58,5460.3096,231531420.0,2594.0913,110018190.0,209357
2024-01-01 05:30:00,2024-01-01 09:29:59.999,42283.58,42775.0,42230.08,42330.49,3948.0833,167818580.0,2040.2588,86727070.0,166013
2024-01-01 09:30:00,2024-01-01 13:29:59.999,42330.5,42500.0,42180.77,42492.46,2706.9988,114643200.0,1385.7927,58687456.0,128552
2024-01-01 13:30:00,2024-01-01 17:29:59.999,42492.46,42762.39,42452.58,42690.2,2948.8027,125745890.0,1523.257,64959470.0,137484
2024-01-01 17:30:00,2024-01-01 21:29:59.999,42690.21,42847.07,42580.0,42783.05,2936.444,125358720.0,1496.351,63877510.0,148756
2024-01-01 21:30:00,2024-01-02 01:29:59.999,42783.05,43550.0,42664.42,43517.99,5686.9717,244970560.0,3016.449,129952010.0,242235
2024-01-02 01:30:00,2024-01-02 05:29:59.999,43517.98,44184.1,43361.6,44179.55,8946.998,391458750.0,4869.6235,213148580.0,291583
2024-01-02 05:30:00,2024-01-02 09:29:59.999,44179.55,45500.0,44148.34,45402.38,17093.287,767967100.0,9741.988,437556220.0,538797
2024-01-02 09:30:00,2024-01-02 13:29:59.999,45402.38,45643.75,45121.96,45455.53,8388.423,380172670.0,4152.5835,188207520.0,272747
2024-01-02 13:30:00,2024-01-02 17:29:59.999,45455.52,45879.63,45200.0,45433.99,10027.395,457314270.0,4898.0557,223402980.0,345836
2024-01-02 17:30:00,2024-01-02 21:29:59.999,45433.99,45800.0,44833.33,45184.82,13236.129,600137200.0,6634.9785,300863230.0,434612
2024-01-02 21:30:00,2024-01-03 01:29:59.999,45184.83,45399.84,44790.96,45039.49,9745.6045,439524930.0,5014.555,226181170.0,382856
